origem,destino,tempo_min,passageiros
23,29,5.44,6
23,30,5.33,4
23,31,3.42,11
23,32,3.01,3
24,1,1.78,23
24,2,1.74,31
24,3,1.64,4
24,4,4.09,4
24,5,2.46,5
24,6,3.24,11
24,7,3.92,9
24,8,5.12,9
24,9,1.82,2
24,10,2.05,4
24,11,2.94,5
24,12,2.42,2
24,13,2.94,1
24,14,0.9,1
24,15,2.43,5
24,16,2.42,6
24,17,3.0,6
24,18,2.89,13
24,19,3.41,14
24,20,4.24,14
24,21,6.3,7
24,22,6.11,1
24,23,7.86,6
24,25,0.54,6
24,26,0.8,6
24,27,3.87,6
24,28,1.88,5
24,29,2.32,6
24,30,2.21,4
24,31,2.83,11
24,32,3.87,3
25,1,2.41,23
25,2,1.77,31
25,3,1.66,4
25,4,3.57,4
25,5,2.49,5
25,6,3.27,11
25,7,3.94,9
25,8,4.58,9
25,9,2.39,2
25,10,2.67,4
25,11,3.32,5
25,12,2.8,2
25,13,2.96,1
25,14,1.53,1
25,15,2.0,5
25,16,2.37,6
25,17,2.95,6
25,18,2.91,13
25,19,2.87,14
25,20,3.7,14
25,21,5.76,7
25,22,5.57,1
25,23,7.32,6
25,24,1.83,25
25,26,0.26,6
25,27,3.33,6
25,28,1.34,5
25,29,1.78,6
25,30,1.67,4
25,31,2.29,11
25,32,3.33,3
26,1,2.81,23
26,2,2.25,31
26,3,1.85,4
26,4,3.31,4
26,5,2.68,5
26,6,3.46,11
26,7,4.06,9
26,8,4.32,9
26,9,2.84,2
26,10,3.07,4
26,11,3.8,5
26,12,3.28,2
26,13,3.33,1
26,14,1.93,1
26,15,1.74,5
26,16,2.11,6
26,17,2.69,6
26,18,3.1,13
26,19,2.61,14
26,20,3.44,14
26,21,5.5,7
26,22,5.31,1
26,23,7.06,6
26,24,2.31,25
26,25,1.65,6
26,27,3.07,6
26,28,1.08,5
26,29,1.52,6
26,30,1.41,4
26,31,2.03,11
26,32,3.07,3
27,1,5.57,23
27,2,4.93,31
27,3,4.17,4
27,4,3.14,4
27,5,3.21,5
27,6,2.33,11
27,7,2.57,9
27,8,2.69,9
27,9,5.56,2
27,10,5.83,4
27,11,6.48,5
27,12,5.96,2
27,13,5.64,1
27,14,4.69,1
27,15,4.47,5
27,16,4.43,6
27,17,4.28,6
27,18,2.81,13
27,19,1.39,14
27,20,3.09,14
27,21,4.39,7
27,22,4.48,1
27,23,6.58,6
27,24,4.99,25
27,25,4.33,6
27,26,3.62,6
27,28,2.12,5
27,29,1.82,6
27,30,1.99,4
27,31,1.39,11
27,32,1.14,3
28,1,4.2,23
28,2,4.13,31
28,3,3.38,4
28,4,2.54,4
28,5,2.62,5
28,6,2.89,11
28,7,3.4,9
28,8,3.67,9
28,9,4.24,2
28,10,4.46,4
28,11,5.36,5
28,12,4.84,2
28,13,4.85,1
28,14,3.32,1
28,15,2.58,5
